DB00162,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO
DB00163,Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2
DB00165,Cc1ncc(CO)c(CO)c1O
DB00166,O=C(O)CCCCC1CCSS1
DB00167,CCC(C)C(N)C(=O)O
DB00169,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C
DB00170,CC1=CC(=O)c2ccccc2C1=O
DB00172,O=C(O)C1CCCN1
DB00173,Nc1ncnc2nc[nH]c12
DB00174,NC(=O)CC(N)C(=O)O
DB00175,CCC(C)C(=O)OC1CC(O)C=C2C=CC(C)C(CCC(O)CC(O)CC(=O)O)C21
DB00176,COCCCCC(=NOCCN)c1ccc(C(F)(F)F)cc1
DB00177,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C
DB00178,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)CC2CCCC21
DB00179,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1
DB00180,CC1(C)OC2CC3C4CC(F)C5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
DB00181,NCC(CC(=O)O)c1ccc(Cl)cc1
DB00182,CC(N)Cc1ccccc1
DB00183,CSCCC(NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)NC(CC(=O)O)C(=O)NC(Cc1ccccc1)C(N)=O
DB00184,CN1CCCC1c1cccnc1
DB00185,CC1OC2(CS1)CN1CCC2CC1
DB00186,O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=NC1O
DB00187,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
DB00188,CC(C)CC(NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
DB00189,C#CC(O)(C=CCl)CC
DB00190,CC(Cc1ccc(O)c(O)c1)(NN)C(=O)O
DB00191,CC(C)(N)Cc1ccccc1
DB00192,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
DB00193,COc1cccc(C2(O)CCCCC2CN(C)C)c1
DB00195,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
DB00198,CCOC(=O)C1=CC(OC(CC)CC)C(NC(C)=O)C(N)C1
DB00199,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)C(=O)C(C)C(O)C1(C)O
DB00200,CC1=C2[N+]3=C(C=C4[N+]5=C(C(C)=C6N7C8C(CC(N)=O)C6(C)CCC(=O)NCC(C)OP(=O)([O-])OC6C(CO)OC(C6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]753(O)[N+]3=C1C(CCC(N)=O)C(C)(CC(N)=O)C83C)C(CCC(N)=O)C4(C)C)C(CCC(N)=O)C2(C)CC(N)=O
DB00201,Cn1c(=O)c2c(ncn2C)n(C)c1=O
DB00202,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
DB00203,CCCc1nn(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)[nH]c12
DB00204,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
DB00205,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
DB00206,COC(=O)C1C2CC3c4[nH]c5cc(OC)ccc5c4CCN3CC2CC(OC(=O)c2cc(OC)c(OC)c(OC)c2)C1OC
DB00207,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O
DB00208,Clc1ccccc1CN1CCc2sccc2C1
DB00209,O=C(OC1CC2CCC(C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
DB00210,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
DB00211,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
DB00213,COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC
DB00214,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
DB00215,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
